postUrl,description,commentCount,likeCount,pubDate,Post_Number,BreakDown,Tagged
https://www.instagram.com/p/CYoG-TTlzFv/,"Just your quick heads-up, @louisvuitton’s #LVMenSS22 collection will launch tomorrow at @theshoppesmbs. What are you eyeing? 📸 Images courtesy of #LouisVuitton #tagafriend",57,,2022-01-12T10:29:29.000Z,37,"['Just', 'your', 'quick', 'heads-up,', '@louisvuitton’s', '#LVMenSS22', 'collection', 'will', 'launch', 'tomorrow', 'at', '@theshoppesmbs.', 'What', 'are', 'you', 'eyeing?', '📸', 'Images', 'courtesy', 'of', '#LouisVuitton', '#tagafriend']","['louisvuittons', 'theshoppesmbs']"
https://www.instagram.com/p/CYi9kBFFVad/,Meet the family. Meet the #LVCoussin family. What’s your fave size? @louisvuitton 📸 @ivanhoharlim for @bagaholicboy #LouisVuitton,48,,2022-01-10T10:31:03.000Z,38,"['Meet', 'the', 'family.', 'Meet', 'the', '#LVCoussin', 'family.', 'What’s', 'your', 'fave', 'size?', '@louisvuitton', '📸', '@ivanhoharlim', 'for', '@bagaholicboy', '#LouisVuitton']","['louisvuitton', 'ivanhoharlim', 'bagaholicboy']"
https://www.instagram.com/p/CYiLltfFu0U/,"A crush like no other. Meet the new #CocoCrush pieces from #CHANELFineJewelry in beige gold, yellow gold or white gold. 📸 Images courtesy of @chanelofficial #Chanel",64,,2022-01-10T03:14:23.000Z,39,"['A', 'crush', 'like', 'no', 'other.', 'Meet', 'the', 'new', '#CocoCrush', 'pieces', 'from', '#CHANELFineJewelry', 'in', 'beige', 'gold,', 'yellow', 'gold', 'or', 'white', 'gold.', '📸', 'Images', 'courtesy', 'of', '@chanelofficial', '#Chanel']",['chanelofficial']
https://www.instagram.com/p/CYdObJaFX1E/,Nothing more classic than a black leather bag and nothing more vintage than a heart-shaped bag. Love? Love! 📸 Images courtesy of @chanelofficial #CHANELSpringSummer #comingsoon,74,,2022-01-08T05:02:57.000Z,40,"['Nothing', 'more', 'classic', 'than', 'a', 'black', 'leather', 'bag', 'and', 'nothing', 'more', 'vintage', 'than', 'a', 'heart-shaped', 'bag.', 'Love?', 'Love!', '📸', 'Images', 'courtesy', 'of', '@chanelofficial', '#CHANELSpringSummer', '#comingsoon']",['chanelofficial']
https://www.instagram.com/p/CYYEGlVFe8L/,Not your regular knot. Meet the stunning  #TiffanyKnot collection from @tiffanyandco. 📸 @ivanhoharlim for @bagaholicboy #TiffanyAndCo #tagafriend,56,,2022-01-06T04:56:33.000Z,41,"['Not', 'your', 'regular', 'knot.', 'Meet', 'the', 'stunning', '#TiffanyKnot', 'collection', 'from', '@tiffanyandco.', '📸', '@ivanhoharlim', 'for', '@bagaholicboy', '#TiffanyAndCo', '#tagafriend']","['tiffanyandco', 'ivanhoharlim', 'bagaholicboy']"
https://www.instagram.com/p/CYWQfXFlWAa/,And here's your quick look at the #LOEWEspiritedaway capsule that launches this Friday (7 January 2022) at #Loewe @ion_orchard and @theshoppesmbs. What are you eyeing? 📸 Images courtesy of @loewe #tagafriend,131,,2022-01-05T12:06:19.000Z,42,"['And', ""here's"", 'your', 'quick', 'look', 'at', 'the', '#LOEWEspiritedaway', 'capsule', 'that', 'launches', 'this', 'Friday', '(7', 'January', '2022)', 'at', '#Loewe', '@ion_orchard', 'and', '@theshoppesmbs.', 'What', 'are', 'you', 'eyeing?', '📸', 'Images', 'courtesy', 'of', '@loewe', '#tagafriend']","['ionorchard', 'theshoppesmbs', 'loewe']"
https://www.instagram.com/p/CYFx2qalTm5/,"New year, new you, 'new look'. Just a gentle reminder that @diorbeauty's limited-edition Dior New Look collection drops in Singapore this Saturday (1 January 2022) and online on 3 January. 📸 Images courtesy of #DiorBeauty #tagafriend",79,,2021-12-30T02:30:46.000Z,43,"['New', 'year,', 'new', 'you,', ""'new"", ""look'."", 'Just', 'a', 'gentle', 'reminder', 'that', ""@diorbeauty's"", 'limited-edition', 'Dior', 'New', 'Look', 'collection', 'drops', 'in', 'Singapore', 'this', 'Saturday', '(1', 'January', '2022)', 'and', 'online', 'on', '3', 'January.', '📸', 'Images', 'courtesy', 'of', '#DiorBeauty', '#tagafriend']",['diorbeautys']
https://www.instagram.com/p/CYEEtorFN7y/,Always better in black. @hermes #Hermes,70,,2021-12-29T10:37:04.000Z,44,"['Always', 'better', 'in', 'black.', '@hermes', '#Hermes']",['hermes']
https://www.instagram.com/p/CYB3mDWFcPK/,Repeat after me. Just because you don’t need a @louisvuitton skimboard doesn’t mean you don’t want a @louisvuitton skimboard. 📸 Image courtesy of #LouisVuitton,26,,2021-12-28T14:03:58.000Z,45,"['Repeat', 'after', 'me.', 'Just', 'because', 'you', 'don’t', 'need', 'a', '@louisvuitton', 'skimboard', 'doesn’t', 'mean', 'you', 'don’t', 'want', 'a', '@louisvuitton', 'skimboard.', '📸', 'Image', 'courtesy', 'of', '#LouisVuitton']","['louisvuitton', 'louisvuitton']"
https://www.instagram.com/p/CX8toj8lwoT/,When you wish upon a star… @dior 📸 Image courtesy of #Dior #DiorCruise,56,,2021-12-26T14:00:43.000Z,46,"['When', 'you', 'wish', 'upon', 'a', 'star…', '@dior', '📸', 'Image', 'courtesy', 'of', '#Dior', '#DiorCruise']",['dior']
