AgeRange.Low,AgeRange.High,Gender.Value,Gender.Confidence,site,AverageAge
28,38,Female,99.85202026,Milan Json\azlin86.jpg.json,33
53,61,Male,98.9287262,Milan Json\azliyahborhan.jpg.json,57
48,54,Female,98.63920593,Milan Json\azliyahborhan.jpg.json,51
21,29,Male,91.04182434,Milan Json\azuinsaiyadi.jpg.json,25
16,24,Female,99.9892807,Milan Json\b3cky_liaw.jpg.json,20
21,29,Male,99.73793793,Milan Json\babarac.jpg.json,25
36,44,Male,99.99745178,Milan Json\babarac.jpg.json,40
38,46,Female,98.13156891,Milan Json\babarac.jpg.json,42
27,37,Female,99.71508026,Milan Json\babyfibula.jpg.json,32
36,44,Female,99.98963165,Milan Json\babymiffybabymiffy.jpg.json,40
36,44,Male,99.91829681,Milan Json\babymiffybabymiffy.jpg.json,40
18,26,Female,99.95497131,Milan Json\babypooh77.jpg.json,22
18,26,Female,99.9984436,Milan Json\babyseshirya.jpg.json,22
14,22,Female,99.64297485,Milan Json\bamboo903.jpg.json,18
14,22,Female,99.97860718,Milan Json\bang_yun88.jpg.json,18
18,26,Female,99.10121155,Milan Json\baybeebimbo.jpg.json,22
20,28,Female,99.99843597,Milan Json\beatrice_tan.jpg.json,24
22,30,Female,99.935112,Milan Json\beauty4you77.jpg.json,26
16,24,Female,99.99794006,Milan Json\beautytaless.jpg.json,20
22,30,Female,99.99611664,Milan Json\bea_trice_tan.jpg.json,26
21,29,Female,99.96181488,Milan Json\bea_t_s_.jpg.json,25
16,24,Female,99.99750519,Milan Json\bebee417.jpg.json,20
21,29,Female,99.947052,Milan Json\beberubybebee.jpg.json,25
21,29,Female,99.99479675,Milan Json\beckybabyyy_.jpg.json,25
18,24,Female,99.98564148,Milan Json\beebee1314.jpg.json,21
18,24,Female,99.97180176,Milan Json\beeethiful.jpg.json,21
29,39,Female,99.99212646,Milan Json\beezarmark.jpg.json,34
29,39,Female,99.85288239,Milan Json\begummmmm_.jpg.json,34
25,35,Female,99.9723053,Milan Json\belindakll.jpg.json,30
19,27,Female,99.9956665,Milan Json\bellakini.jpg.json,23
23,33,Female,99.69371796,Milan Json\bellapushkarna.jpg.json,28
18,24,Female,99.99914551,Milan Json\belleeeeeeeeeeeeee.jpg.json,21
36,44,Female,99.9862442,Milan Json\belle_valentino.jpg.json,40
19,27,Female,89.5888443,Milan Json\belliope7.jpg.json,23
16,24,Female,99.60323334,Milan Json\benheartben.jpg.json,20
35,43,Male,99.9526825,Milan Json\benheartben.jpg.json,39
16,24,Female,99.97888184,Milan Json\berlintessa.jpg.json,20
22,30,Female,99.9799881,Milan Json\bernashhy.jpg.json,26
16,24,Female,99.95056915,Milan Json\berniec_beier.jpg.json,20
31,41,Male,94.5154953,Milan Json\bethbneitsionflorizpa.jpg.json,36
33,41,Male,99.98803711,Milan Json\betsytpq.jpg.json,37
27,37,Female,99.98884583,Milan Json\betsytpq.jpg.json,32
23,33,Female,99.94708252,Milan Json\bibidolphie.jpg.json,28
13,21,Female,99.97896576,Milan Json\bihhulk.jpg.json,17
13,21,Male,84.22583008,Milan Json\bina.jpg.json,17
22,30,Male,99.95622253,Milan Json\blu3_world.jpg.json,26
21,29,Female,99.9865036,Milan Json\blu3_world.jpg.json,25
34,42,Female,99.8744278,Milan Json\blurqueen0205.jpg.json,38
21,29,Female,99.99849701,Milan Json\bnurshabrina.jpg.json,25
16,22,Female,99.99612427,Milan Json\boan1105.jpg.json,19
26,36,Female,99.98268127,Milan Json\bossmumbm.jpg.json,31
19,27,Female,99.92350006,Milan Json\botan_palita.jpg.json,23
21,29,Female,99.9937439,Milan Json\brandname.jpg.json,25
35,43,Male,99.94808197,Milan Json\brannyrenny.jpg.json,39
26,36,Female,99.99202728,Milan Json\brannyrenny.jpg.json,31
16,24,Male,99.72440338,Milan Json\brianchong13.jpg.json,20
22,30,Female,99.99625397,Milan Json\brianchong13.jpg.json,26
23,31,Female,99.99769592,Milan Json\bridgetgoo.jpg.json,27
16,22,Female,99.99349976,Milan Json\brillienlicia.jpg.json,19
16,22,Female,85.56468201,Milan Json\britanniagirl.jpg.json,19
23,33,Female,99.99404144,Milan Json\brystelle.jpg.json,28
13,21,Female,99.96967316,Milan Json\bundainderaimani.jpg.json,17
20,28,Male,99.80293274,Milan Json\bundainderaimani.jpg.json,24
14,22,Female,99.93067932,Milan Json\bunnyginaa.jpg.json,18
27,37,Female,99.98710632,Milan Json\burninggold_.jpg.json,32
13,21,Male,99.95832825,Milan Json\butetcantiq.jpg.json,17
14,22,Female,85.98171234,Milan Json\butetcantiq.jpg.json,18
16,22,Female,99.98809814,Milan Json\b_da_gal.jpg.json,19
18,24,Female,99.99339294,Milan Json\b_edkai.jpg.json,21
28,38,Male,98.53068542,Milan Json\b_rave.jpg.json,33
19,27,Female,99.99774933,Milan Json\b_rave.jpg.json,23
23,33,Male,99.27862549,Milan Json\c.a.i.y.u.jpg.json,28
19,27,Female,99.86748505,Milan Json\c.a.i.y.u.jpg.json,23
16,24,Female,99.99958801,Milan Json\calberca.jpg.json,20
23,31,Female,99.87322998,Milan Json\calcium85.jpg.json,27
21,29,Female,99.96922302,Milan Json\callmemelissa__.jpg.json,25
23,31,Female,99.98455811,Milan Json\calztagram.jpg.json,27
19,27,Female,99.99858856,Milan Json\camelia_natashaa.jpg.json,23
22,30,Female,99.81876373,Milan Json\candyliciousssss.jpg.json,26
29,39,Male,86.15026855,Milan Json\candylinmuiching.jpg.json,34
13,21,Female,99.98504639,Milan Json\carie9427.jpg.json,17
23,33,Female,99.98345947,Milan Json\carine8911.jpg.json,28
23,31,Female,96.05077362,Milan Json\carlapoop.jpg.json,27
25,35,Female,99.98535156,Milan Json\carlia_aziz.jpg.json,30
18,26,Female,99.98072052,Milan Json\carmelinesadventure.jpg.json,22
18,24,Female,99.62911987,Milan Json\carmenwlb.jpg.json,21
23,31,Female,99.99838257,Milan Json\carryhuhu.jpg.json,27
45,51,Female,99.92638397,Milan Json\caseligram.jpg.json,48
20,28,Female,99.65900421,Milan Json\cassandra_zhang.jpg.json,24
24,34,Female,83.4205246,Milan Json\cassann_d.jpg.json,29
39,47,Male,99.7171936,Milan Json\castillonhing.jpg.json,43
42,50,Male,99.93614197,Milan Json\castillonhing.jpg.json,46
21,29,Female,95.94709015,Milan Json\castillonhing.jpg.json,25
36,44,Male,99.57250214,Milan Json\castillonhing.jpg.json,40
30,40,Female,99.86489105,Milan Json\catherineonghl.jpg.json,35
23,33,Female,99.99541473,Milan Json\catho212.jpg.json,28
13,21,Female,99.98907471,Milan Json\catier_yeo.jpg.json,17
13,21,Female,99.96274567,Milan Json\cayennes_vogue.jpg.json,17
21,29,Female,99.90979004,Milan Json\ccllny.jpg.json,25
50,58,Female,99.99950409,Milan Json\cearjim.jpg.json,54
19,27,Female,99.998703,Milan Json\ceepeeellhedge.jpg.json,23
16,24,Female,99.96537018,Milan Json\celineccc__.jpg.json,20
22,30,Male,95.48413086,Milan Json\celxchen.jpg.json,26
34,42,Male,88.22831726,Milan Json\chaching03.jpg.json,38
23,33,Female,99.998703,Milan Json\chaineflim.jpg.json,28
13,21,Female,99.99091339,Milan Json\chai_hwa93.jpg.json,17
19,27,Female,99.99304199,Milan Json\chanelgirl255.jpg.json,23
22,30,Female,99.92603302,Milan Json\chanteldaisy.jpg.json,26
29,39,Female,99.98262024,Milan Json\chanteldaisy.jpg.json,34
39,47,Female,99.9949646,Milan Json\charissa.may.jpg.json,43
35,43,Female,99.99847412,Milan Json\charlenelch.jpg.json,39
28,38,Female,90.23308563,Milan Json\charlotte.jpg.json,33
23,33,Female,99.96505737,Milan Json\charmcharmyeo.jpg.json,28
18,24,Female,99.93980408,Milan Json\charms.jpg.json,21
16,24,Female,99.99790955,Milan Json\charrachelteo.jpg.json,20
20,28,Female,99.82709503,Milan Json\charxwong.jpg.json,24
24,34,Female,99.58611298,Milan Json\chatteringkitchen.jpg.json,29
18,24,Male,99.99404144,Milan Json\cheekywhitess.jpg.json,21
23,31,Female,99.9668808,Milan Json\cheekywhitess.jpg.json,27
20,28,Female,99.86779785,Milan Json\chegangangangan.jpg.json,24
50,58,Male,99.98725891,Milan Json\chenordin.jpg.json,54
14,22,Male,99.51662445,Milan Json\cherdemel.jpg.json,18
28,38,Female,99.75696564,Milan Json\cherie_wpy.jpg.json,33
21,29,Female,99.99884796,Milan Json\cherlichang.jpg.json,25
16,24,Female,89.76338959,Milan Json\cherlichang.jpg.json,20
20,28,Male,99.94941711,Milan Json\cherrieyinz.jpg.json,24
18,24,Female,99.96641541,Milan Json\cherry_wws.jpg.json,21
14,22,Female,99.91812897,Milan Json\cherylbitesyou.jpg.json,18
54,62,Male,94.97096252,Milan Json\cheryldesiree.jpg.json,58
35,43,Female,99.97898102,Milan Json\cheryldesiree.jpg.json,39
14,22,Female,99.99965668,Milan Json\cheryl_xyz.jpg.json,18
18,24,Female,99.9445343,Milan Json\chess_gal.jpg.json,21
23,33,Male,99.95580292,Milan Json\chew_on_it.jpg.json,28
19,27,Female,99.99917603,Milan Json\chia_v.jpg.json,23
21,29,Female,99.95836639,Milan Json\chien_lioe.jpg.json,25
18,26,Female,99.99641418,Milan Json\chikitasuhandi.jpg.json,22
29,39,Female,99.85816193,Milan Json\chilii_watch_store.jpg.json,34
16,24,Female,99.9851532,Milan Json\chineetumbler.jpg.json,20
16,24,Female,99.9928894,Milan Json\chingcarrisa.jpg.json,20
26,36,Female,99.93166351,Milan Json\chinkinkian.jpg.json,31
31,41,Male,81.86832428,Milan Json\chintarinachinta.jpg.json,36
16,22,Female,99.24061584,Milan Json\chintarinachinta.jpg.json,19
29,39,Male,98.44841003,Milan Json\chloekel2102.jpg.json,34
23,33,Female,97.23139191,Milan Json\chloekel2102.jpg.json,28
16,24,Female,99.99979401,Milan Json\chloekong_91.jpg.json,20
29,39,Female,99.98332214,Milan Json\chloelim40.jpg.json,34
18,24,Female,99.98671722,Milan Json\chloe_0618.jpg.json,21
13,21,Female,99.99388123,Milan Json\chocho.jpg.json,17
26,36,Female,99.99736023,Milan Json\chocy_muffin.jpg.json,31
22,30,Female,99.70890045,Milan Json\chrischanmt.jpg.json,26
23,33,Female,99.87542725,Milan Json\chrissspykreme.jpg.json,28
18,26,Female,99.98725891,Milan Json\christeosg.jpg.json,22
20,28,Female,99.98709869,Milan Json\christineadni.jpg.json,24
16,22,Female,99.99918365,Milan Json\christinedee.jpg.json,19
37,45,Male,98.21503448,Milan Json\christine_shi_ni.jpg.json,41
24,34,Female,99.98216248,Milan Json\christine_shi_ni.jpg.json,29
27,37,Female,99.9980011,Milan Json\christoffer_julian.jpg.json,32
22,30,Male,99.50004578,Milan Json\christoffer_julian.jpg.json,26
22,30,Female,99.97794342,Milan Json\christycristy.jpg.json,26
25,35,Male,99.9593811,Milan Json\chriswtutty.jpg.json,30
24,34,Female,99.99331665,Milan Json\chuaminhui.jpg.json,29
13,21,Female,99.8494339,Milan Json\chuhuiicchx.jpg.json,17
21,29,Female,99.9981842,Milan Json\chwystyne.jpg.json,25
18,24,Female,99.34095001,Milan Json\chyihaur.jpg.json,21
18,26,Female,99.55105591,Milan Json\chysscake.jpg.json,22
33,41,Female,99.98471832,Milan Json\cindyelder.jpg.json,37
36,44,Female,99.99140167,Milan Json\cindyelder.jpg.json,40
14,22,Female,99.97662354,Milan Json\cindyh_xy.jpg.json,18
