Name,Brand,Price,Picture,Category,Availability
  TESSUTO PRINTED TOTE , Prada,595.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19903_5_.jpg,Handbags,Available
  VINTAGE EMBOSSED TOP HANDLE BAG , Ferragamo,595.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19901_3_.jpg,Handbags,Available
  SMALL SLING BAG , Bottega Veneta,1250.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19900_4_.jpg,Handbags,Available
  CHAIN CASSETTE , Bottega Veneta,5250.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19895_1_.jpg,Handbags,Available
  IN THE MIX LARGE FLAP , Chanel,3500.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19894_5_.jpg,Handbags,Available
  GV CLUTCH WITH CHAIN , Givenchy,1750.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19890_3_.jpg,Handbags,Available
  MONO REVERSE VANITY PM , Louis Vuitton,3650.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19886_4_.jpg,Handbags,Available
  MONO RANDONNEE PM BACKPACK , Louis Vuitton,1750.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19883_1_.jpg,Handbags,Available
  MONO PETITE BOITE CHAPEAU , Louis Vuitton,5850.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19882_4_.jpg,Handbags,Available
  EPI BLEECKER BOX , Louis Vuitton,2995.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19878_1_.jpg,Handbags,Available
