Name,Brand,Price,Picture,Category,Availability
Chanel Classic Quilted Small Double Flap Purple Lambskin,Chanel,9900.0,//cdn.shopify.com/s/files/1/0288/1185/3910/products/Photo10-2-22_125444PM-min_1024x1024.jpg?v=1644471786,Handbags,Available
Chanel Vintage Classic Quilted Medium Double Flap Black Lambskin,Chanel,4400.0,//cdn.shopify.com/s/files/1/0288/1185/3910/products/Photo24-2-22_102234AM_1024x1024.jpg?v=1645673418,Handbags,Available
Chanel Quilted MOP Round Clutch on Chain Bag Pink Iridescent Caviar,Chanel,2900.0,//cdn.shopify.com/s/files/1/0288/1185/3910/products/Photo23-2-22_10224PM-min_1024x1024.jpg?v=1645612160,Handbags,Sold
Chanel Gabrielle Quilted So Black Black Aged Calfskin,Chanel,6200.0,//cdn.shopify.com/s/files/1/0288/1185/3910/products/Photo23-2-22_34108PM-min_1024x1024.jpg?v=1645612287,Handbags,Sold
Chanel Quilted East West Flap Mauve Aged Calfskin,Chanel,2900.0,//cdn.shopify.com/s/files/1/0288/1185/3910/products/Photo23-2-22_32621PM-min_1024x1024.jpg?v=1645612920,Handbags,Sold
Chanel 21A 19 Flap Bag Caramel Lambskin,Chanel,8300.0,//cdn.shopify.com/s/files/1/0288/1185/3910/products/Photo23-2-22_32227PM_1024x1024.jpg?v=1645686380,Handbags,Sold
Chanel Chevron Coco Handle Black Aged Calfskin,Chanel,5200.0,//cdn.shopify.com/s/files/1/0288/1185/3910/products/Photo23-2-22_44855PM_1024x1024.jpg?v=1645609502,Handbags,Available
Chanel Chervon Glitz Boy Old Medium Deep Red Calfskin,Chanel,6300.0,//cdn.shopify.com/s/files/1/0288/1185/3910/products/Photo23-2-22_43649PM-min_1024x1024.jpg?v=1645609384,Handbags,Available
Chanel Quilted Shoulder Tote Black Iridescent Calfskin,Chanel,1980.0,//cdn.shopify.com/s/files/1/0288/1185/3910/products/Photo23-2-22_41027PM-min_1024x1024.jpg?v=1645609333,Handbags,Available
Chanel Cc Filigree Transparent Vanity Pastel Rainbow Glazed Leather / PVC,Chanel,5900.0,//cdn.shopify.com/s/files/1/0288/1185/3910/products/Photo23-2-22_40232PM-min_1024x1024.jpg?v=1645682343,Handbags,Available
Saint Laurent Monogram Bag Black Calfskin,Saint,999.0,//cdn.shopify.com/s/files/1/0288/1185/3910/products/Photo23-2-22_42257PM-min_1024x1024.jpg?v=1645609162,Handbags,Available
